Property Path,Title,Description,Type,Required,Enum,Source
source/retrievedAt,Retrieved At,"A timestamp indicating when this information was imported from an external system, in full-date (YYYY-MM-DD) or date-time (e.g. YYYY-MM-DDTHH:MM:SSZ) format. See the IETF RFC3339 standard, section 5.6.",string,No,,Statement
source/assertedBy/item/item/name,Name,The name of the agent making the assertion,string,No,,Statement
source/assertedBy/item/item/uri,URI,An optional URI to identify the agent making the assertion,string,No,,Statement
source/assertedBy/item/item,,,object,No,,Statement
source/assertedBy,Asserted By,"The people or organisations providing the information asserted in this Statement. This may include the declaring subject of a self-declaration, or the name of an agent making a declaration on their behalf. If this Statement has been verified, the array may include the name of the organisation providing verification.",array,No,,Statement
source,Source,Details describing an information source.,object,No,,Statement
declaration,Declaration Reference,An identifier or reference for a declaration within the publisher’s system. Where a Statement is a claim from a particular declaration (made at a point in time by a `source` about a `declarationSubject`) this field identifies the declaration.,string,No,,Statement
declarationSubject,Declaration Subject,A `recordId` value for the subject of a beneficial ownership network (always an entity or person).,string,Yes,,Statement
recordId,Record Identifier,"A unique identifier for the record (within the publisher's system) to which this Statement relates. (A record captures information about an entity, natural person or relationship within the beneficial ownership network of a particular declaration subject.)",string,Yes,,Statement
recordType,Record Type,"The type of record (within the publisher's system) to which this Statement relates: entity, person, or relationship.",string,Yes,"entity, person, relationship",Statement
recordStatus,Record Status,"The lifecycle status of the record (within the publisher's system) to which this Statement relates, using the recordStatus codelist.",string,No,"new, updated, closed",Statement
recordDetails,Record Details,"The details of the entity, person or relationship as declared on the Statement Date.",object,Yes,,Statement
isComponent,Is component,"Whether this entity is a component in an indirect relationship. Where `isComponent` is 'true': (1) the `recordId` of this entity MUST be an element in the `componentRecords` array of that primary Relationship Statement, (2) this Entity Statement MUST come before that primary Relationship Statement in a BODS package or stream, (3) the replacement of this Entity Statement SHOULD be considered when replacing the primary Relationship Statement. The primary Relationship statement MUST have a `isComponent` value of 'false'.",boolean,Yes,,Entity
entityType/type,Type,"The general form of the entity, using the entityType codelist.",string,Yes,"registeredEntity, legalEntity, arrangement, anonymousEntity, unknownEntity, state, stateBody",Entity
entityType/subtype,Subtype,"The particular form of the entity, where relevant, using the entitySubtype codelist. The value MUST align with the `entityType` value.",string,No,"governmentDepartment, stateAgency, other, trust, nomination",Entity
entityType/details,Details,"This may be used to provide a local name for this type of entity, or any further information to identify the type of entity. For example, in Finland 'ministeriö' for a government department.",string,No,,Entity
entityType,Entity Type,The form of the entity described in the Statement.,object,Yes,,Entity
unspecifiedEntityDetails/reason,Reason,"The reason that a person or entity cannot be specified, using the unspecifiedReason codelist.",string,Yes,"noBeneficialOwners, subjectUnableToConfirmOrIdentifyBeneficialOwner, interestedPartyHasNotProvidedInformation, subjectExemptFromDisclosure, interestedPartyExemptFromDisclosure, unknown, informationUnknownToPublisher",Entity
unspecifiedEntityDetails/description,Description,"Additional information about the absence of details for a person or entity. This field may be used to provide set phrases from a source system, or a free text explanation.",string,No,,Entity
unspecifiedEntityDetails,Unspecified or unknown person or entity,A `reason` MUST be supplied.,object,No,,Entity
name,Entity Name,The declared name of this entity.,string,No,,Entity
alternateNames/item/item,Name,A name this entity is known by.,string,No,,Entity
alternateNames,Alternative Names,An array of other names this entity is known by.,array,No,,Entity
jurisdiction/name,Name,The name of the jurisdiction,string,Yes,,Entity
jurisdiction/code,Country or Subdivision Code,The 2-letter country code (ISO 3166-1) or the subdivision code (ISO 3166-2) for the jurisdiction.,string,No,,Entity
jurisdiction,Jurisdiction,A Jurisdiction MUST have a name. A jurisdiction SHOULD have a 2-letter country code (ISO 3166-1) or a subdivision code (ISO 3166-2).,object,No,,Entity
identifiers/item/item/id,ID,"The identifier for a person or entity, as issued by the scheme.",string,No,,Entity
identifiers/item/item/scheme,Scheme Code,"For entities, a code from org-id.guide (https://www.org-id.guide) for an identifier-issuing authority (e.g. 'GB-COH'). For natural persons, a value with the pattern {JURISDICTION}-{TYPE} where JURISDICTION is an ISO 3166-1 3-digit country code and TYPE is one of PASSPORT, TAXID or IDCARD.",string,No,,Entity
identifiers/item/item/schemeName,Scheme Name,The name of the identifier-issuing authority.,string,No,,Entity
identifiers/item/item/uri,URI,"A canonical URI (https://en.wikipedia.org/wiki/Uniform_Resource_Identifier) for the identifier and associated details of the person or entity, if one exists.",string,No,,Entity
identifiers/item/item,Identifier,An identifier that has been assigned to a person or entity. `scheme` or `schemeName` (or both) MUST be included in an Identifier object.,object,No,,Entity
identifiers,Identifiers,"One or more official identifiers for this entity. Where available, official registration numbers should be provided.",array,No,,Entity
foundingDate,Founding Date,"The date on which this entity was founded, created or registered. The date MUST be given in YYYY-MM-DD format. Where a precise month or date are not available, the value may be rounded to the first day of the (first) month. This rounding SHOULD be noted in accompanying guidance (such as a publication policy or data use guide).",string,No,,Entity
dissolutionDate,Dissolution Date,"The date on which this entity was dissolved or ceased, if it is no longer active. The date MUST be given in YYYY-MM-DD format. Where a precise month or date are not available, the value may be rounded to the first day of the (first) month. This rounding SHOULD be noted in accompanying guidance (such as a publication policy or data use guide).",string,No,,Entity
addresses/item/item/type,Type,"The function of the address, using the addressType codelist.",string,No,"placeOfBirth, residence, registered, service, alternative, business",Entity
addresses/item/item/address,Address,"The address, with each line or component separated by a line-break or comma.",string,No,,Entity
addresses/item/item/postCode,Postcode,The postal code for this address.,string,No,,Entity
addresses/item/item/country/name,Name,The name of the country,string,Yes,,Entity
addresses/item/item/country/code,Country Code,The 2-letter country code (ISO 3166-1) for this country.,string,No,,Entity
addresses/item/item/country,Country,A country MUST have a name. A country SHOULD have a 2-letter country code (ISO 3166-1),object,No,,Entity
addresses/item/item,Address,"Semi-structured address details, suitable for processing using address-parsing algorithms. Where postal codes and country information are isolated fields in source systems, this information SHOULD be published in the dedicated fields and SHOULD NOT be published in the `address` field.",object,No,,Entity
addresses,Addresses,One or more addresses for this entity.,array,No,,Entity
uri,URI,Where a persistent URI (https://en.wikipedia.org/wiki/Uniform_Resource_Identifier) is available for this entity this should be included.,string,No,,Entity
publicListing/hasPublicListing,Has Public Listing,Whether the entity is a publicly listed company.,boolean,Yes,,Entity
publicListing/companyFilingsURLs/item/item,,,string,No,,Entity
publicListing/companyFilingsURLs,Company Filings URLs,"URL or URLs where regulatory filings related to major holdings can be retrieved. URLs may point to pages maintained by regulatory bodies, stock exchanges or by the company itself.",array,No,,Entity
publicListing/securitiesListings/item/item/marketIdentifierCode,Market Identifier Code (MIC),"The Market Identifier Code (MIC) of the market on which the security is traded. Where the security is traded on a segment of an exchange, this is the MIC of the segment. Where it is traded on the main exchange, this is the MIC of the main exchange and MUST match the `operatingMarketIdentifierCode`. MICs are allocated and managed under ISO standard 10383.",string,No,,Entity
publicListing/securitiesListings/item/item/operatingMarketIdentifierCode,Operating Market Identifier Code (Operating MIC),"The Market Identifier Code (MIC) of the main exchange or trading platform handling trades in this security. Where the security is traded on a segment of an exchange, this is the MIC of the parent exchange or trading platform. Where it is traded on the main exchange, this is the MIC of that main exchange and MUST match the `marketIdentifierCode`. MICs are allocated and managed under ISO standard 10383.",string,No,,Entity
publicListing/securitiesListings/item/item/stockExchangeJurisdiction,Stock Exchange Jurisdiction,"The 2-letter country code (ISO 3166-1) or the subdivision code (ISO 3166-2) for the jurisdiction under which the exchange, market or trading platform is regulated.",string,Yes,,Entity
publicListing/securitiesListings/item/item/stockExchangeName,Stock Exchange Name,"The name of the exchange, market or trading platform on which the security is traded. If the security is traded on a segment of the exchange, then the name SHOULD include both elements. For example, 'London Stock Exchange - MTF'.",string,Yes,,Entity
publicListing/securitiesListings/item/item/security/idScheme,Identifier Scheme,"The scheme under which the security has been issued a unique, persistent identifier, using the securitiesIdentifierSchemes codelist.",string,No,"isin, figi, cusip, cins",Entity
publicListing/securitiesListings/item/item/security/id,Identifier,The unique identifier of the security as issued under the `idScheme`.,string,No,,Entity
publicListing/securitiesListings/item/item/security/ticker,Stock Ticker,The stock ticker identifying this security on the named stock exchange.,string,Yes,,Entity
publicListing/securitiesListings/item/item/security,Security,Identifying information of the stock or other security.,object,Yes,,Entity
publicListing/securitiesListings/item/item,Securities Listing,Details of a security and the market on which it is traded.,object,No,,Entity
publicListing/securitiesListings,Securities Listings,"Details of the entity's securities and the public exchanges and markets on which they are traded. All equity securities SHOULD be listed here, plus any other securities from which beneficial ownership might be derived. Where a security is traded on more than one market, there SHOULD be an entry for each market (or market segment).",array,No,,Entity
publicListing,Public Listing,"Details of a publicly listed company, its securities (shares and other tradable financial instruments related to the entity), and related regulatory filings.",object,No,,Entity
formedByStatute/name,Statute Name,The name of the law. ,string,No,,Entity
formedByStatute/date,Date,"The date on which the law came into force. The date MUST be given in YYYY-MM-DD format. Where a precise month or date are not available, the value may be rounded to the first day of the (first) month. This rounding SHOULD be noted in accompanying guidance (such as a publication policy or data use guide).",string,No,,Entity
formedByStatute,Formed by Statute,"The law which mandated the formation of the entity described in the statement, where applicable. This information SHOULD be provided where a state has created an agency or other entity with specific legislation.",object,No,,Entity
isComponent,Is component,"Whether this relationship is a component of a wider indirect relationship. Where `isComponent` is 'true': (1) the `recordId` of this secondary Relationship Statement MUST be an element in the `componentRecords` array of that primary Relationship Statement, (2) this Relationship Statement MUST come before that primary Relationship Statement in a BODS package or stream, (3) the replacement of this Relationship Statement SHOULD be considered when replacing the primary Relationship Statement, and (4) the primary Relationship Statement MUST have an `isComponent` value of 'false'. Where `isComponent` is 'false', this Relationship Statement is the primary declaration of the relationship between the `subject` and the `interestedParty`.",boolean,Yes,,Relationship
componentRecords/item/item,,,string,No,,Relationship
componentRecords,Component Record IDs,"The `recordId` values of all component records that provide detail about this relationship between the `subject` and the `interestedParty` (if it is indirect). If this relationship has components, its own `isComponent` value MUST be 'false'.",array,No,,Relationship
subject,Subject,"The `recordId` for the subject of the relationship, or a reason why the subject cannot be specified. The subject MUST be an entity.",,Yes,,Relationship
interestedParty,Interested Party,"The `recordId` for the interested party in the relationship, or an Unspecified Record object with a reason for why this information has not been disclosed. The interested party MAY be an entity or a person. An Unspecified Record SHOULD only be used where no information at all is known about interested parties beyond this point of the beneficial ownership network. If the interested party is known to be an entity or person but their particular identity is unavailable, a `recordId` for them SHOULD be provided here (and the their `recordDetails.[person|entity]Type` should indicate that they are anonymous or unknown).",,Yes,,Relationship
interests/item/item/type,Type of Interest,"The nature of the interest, using the interestType codelist.",string,No,"shareholding, votingRights, appointmentOfBoard, otherInfluenceOrControl, seniorManagingOfficial, settlor, trustee, protector, beneficiaryOfLegalArrangement, rightsToSurplusAssetsOnDissolution, rightsToProfitOrIncome, rightsGrantedByContract, conditionalRightsGrantedByContract, controlViaCompanyRulesOrArticles, controlByLegalFramework, boardMember, boardChair, unknownInterest, unpublishedInterest, enjoymentAndUseOfAssets, rightToProfitOrIncomeFromAssets, nominee, nominator",Relationship
interests/item/item/directOrIndirect,Direct or Indirect,"How directly the interest is exercised by the interested party. The value MUST be 'indirect' if intermediate entities or agents are known to exist, and MUST be 'direct' if such intermediaries are known not to exist. Otherwise the value MUST be 'unknown'.",string,No,"direct, indirect, unknown",Relationship
interests/item/item/beneficialOwnershipOrControl,Beneficial Ownership or Control,Whether this interest (alone or with others) means the interested party is a beneficial owner of the subject. If 'true' the interested party MUST be a natural person. The definition of 'beneficial owner' in operation SHOULD be noted in accompanying guidance (such as a publication policy or data use guide).,boolean,No,,Relationship
interests/item/item/details,Details,"The local name given to this kind of interest, or further information (semi-structured or unstructured) to clarify the nature of the interest.",string,No,,Relationship
interests/item/item/share/exact,Exact percentage,The exact share of this interest held (if available).,number,No,,Relationship
interests/item/item/share/maximum,Maximum Percentage,The inclusive upper bound of the share of this interest.,number,No,,Relationship
interests/item/item/share/minimum,Minimum Percentage,The inclusive lower bound of the share of this interest.,number,No,,Relationship
interests/item/item/share/exclusiveMinimum,Exclusive Minimum percentage,The exclusive lower bound of the share of this interest.,number,No,,Relationship
interests/item/item/share/exclusiveMaximum,Exclusive Maximum Percentage,The exclusive upper bound of the share of this interest.,number,No,,Relationship
interests/item/item/share,Percentage Share,"The proportion of this type of interest held by the interested party, where an interest is countable. Provide the `exact` percentage if known. Otherwise, `minimum` (or `exclusiveMinimum`) and `maximum` (or `exclusiveMaximum`) can be used to record the range into which the proportion falls. (The `minimum` and `maximum` values are inclusive.)",object,No,,Relationship
interests/item/item/startDate,Start Date,"The date from which this interest was active. The date MUST be given in YYYY-MM-DD format. Where a precise month or date are unknown, the value may be rounded to the first day of the (first) month. This rounding SHOULD be noted in accompanying guidance (such as a publication policy or data use guide).",string,No,,Relationship
interests/item/item/endDate,End Date,"The date from which this interest ceased to exist. The date MUST be given in YYYY-MM-DD format. Where a precise month or date are unknown, the value may be rounded to the first day of the (first) month. This rounding SHOULD be noted in accompanying guidance (such as a publication policy or data use guide).",string,No,,Relationship
interests/item/item,Interest,A description of an interest held by an interestedParty in the subject.,object,No,,Relationship
interests,Interests,A description of the interests held by the interested party in the subject.,array,No,,Relationship
