Full company name,Payments to Governments Report_x,Country,Year,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report_y,ISO Code,Start Date,End Date
KYAL SIN PHYU,23697824.0,Myanmar,2018,Private,103508312,Mining,"Gem, Jade",,,23697824.52,MMR,4/1/2017,3/31/2018
KYAN FAMILY,17404290.0,Myanmar,2018,Private,104947204,Mining,"Gem, Jade",,,17404291.06,MMR,4/1/2017,3/31/2018
KYAUK MYET SHWE PYI,1340486698.0,Myanmar,2018,Private,100174359,Mining,"Gem, Jade",,,1340486697.57,MMR,4/1/2017,3/31/2018
KYAUK SAME NAN TAW (GKN),2904292486.0,Myanmar,2018,Private,100798247,Mining,"Gem, Jade",,,2904292484.83,MMR,4/1/2017,3/31/2018
KYAUK SEINN MINN GEMS,536706693.0,Myanmar,2018,Private,103472296,Mining,"Gem, Jade",,,536706693.21,MMR,4/1/2017,3/31/2018
KYAUK SEINN SUN SHWIN JADE GEMS & JEWELLERY CO LTD,1875507984.0,Myanmar,2018,Private,103832675,Mining,"Gem, Jade",,,1875507983.51,MMR,4/1/2017,3/31/2018
"KYAUK SEINN WINGABAR JADE GEMS & JEWELLERY CO.,LTD",842278061.0,Myanmar,2018,Private,133473467,Mining,"Gem, Jade",,,842278059.98,MMR,4/1/2017,3/31/2018
KYAUT MYAT MIN,101937663.0,Myanmar,2018,Private,113325240,Mining,"Gem, Jade",,,101937663.76,MMR,4/1/2017,3/31/2018
KYAUT SEINNN KARBARKYAW,527881569.0,Myanmar,2018,Private,100818132,Mining,"Gem, Jade",,,527881569.04,MMR,4/1/2017,3/31/2018
KYAW NAING & BROTHERS,170221293.0,Myanmar,2018,Private,151554474,Mining,"Gem, Jade",,,170221293.24,MMR,4/1/2017,3/31/2018
KYEI LINN GEMS & JADE COMPANY,4576707.0,Myanmar,2018,Private,11522 6118,Mining,"Gem, Jade",,,4576706.98,MMR,4/1/2017,3/31/2018
KYI WAI YAN,159042226.0,Myanmar,2018,Private,102754441,Mining,"Gem, Jade",,,159042226.69,MMR,4/1/2017,3/31/2018
LAW LU,85409007.0,Myanmar,2018,Private,136924281,Mining,"Gem, Jade",,,85409007.08,MMR,4/1/2017,3/31/2018
LAWKA NANDAR,645987424.0,Myanmar,2018,Private,101487253,Mining,"Gem, Jade",,,645987423.55,MMR,4/1/2017,3/31/2018
"LINN HTET AUNG GEMS CO.,LTD.",446677552.0,Myanmar,2018,Private,1952818234,Mining,"Gem, Jade",,,446677551.54,MMR,4/1/2017,3/31/2018
LINN LETT WIN YADANAR GEMS CO LTD,37266397232.0,Myanmar,2018,Private,150969522,Mining,"Gem, Jade",,,37266397232.69,MMR,4/1/2017,3/31/2018
LINN PYAE MINING COMPANY LIMITED,41911519.0,Myanmar,2018,Private,116551748,Mining,"Lead, Zinc",,,41911518.46,MMR,4/1/2017,3/31/2018
LOI CHAI NAGAR MINING COMPANY LIMITED,327979242.0,Myanmar,2018,Private,110744463,Mining,Coal,,,327979242,MMR,4/1/2017,3/31/2018
LON HAI,8313540.0,Myanmar,2018,Private,134823119,Mining,"Gem, Jade",,,8313540,MMR,4/1/2017,3/31/2018
LONG BYIT,102067200.0,Myanmar,2018,Private,104973124,Mining,"Gem, Jade",,,102067199.02,MMR,4/1/2017,3/31/2018
LUCKY STAR JADE GROUP,371784889.0,Myanmar,2018,Private,162113011,Mining,"Gem, Jade",,,371784888.8,MMR,4/1/2017,3/31/2018
LYAN SHAN,635869515.0,Myanmar,2018,Private,108840048,Mining,"Gem, Jade",,,635869515.63,MMR,4/1/2017,3/31/2018
MA LI KHA GEM STONE CO,715109256.0,Myanmar,2018,Private,105456425,Mining,"Gem, Jade",,,715109255.81,MMR,4/1/2017,3/31/2018
"MACHINERY AND SOLUTIONS CO., LTD.",30410955.0,Myanmar,2018,Private,,Oil & Gas,"Oil, Gas, Condensates",,,30410955,MMR,4/1/2017,3/31/2018
MANDALAY DISTRIBUTION & MINING COMPANY LIMITED,537215599.0,Myanmar,2018,Private,104054625,Mining,Coal,,,537215599,MMR,4/1/2017,3/31/2018
"MANDALAY GOLDEN FRIEND MINING CO., LTD.",249300800.0,Myanmar,2018,Private,118051289,Mining,Coal,,,249300800,MMR,4/1/2017,3/31/2018
MAUREL & PROM EXPLORATION & PRODUCTION,0.0,Myanmar,2018,Private,,Oil & Gas,"Oil, Gas, Condensates",,,,MMR,4/1/2017,3/31/2018
MAX (MYANMAR) COMPANY LIMITED,1688236849.0,Myanmar,2018,Private,141288016,Mining,"Limestone, Coal",,,1688236849,MMR,4/1/2017,3/31/2018
MAY FLOWER MINING ENTERPRISES LIMITED,25163776.0,Myanmar,2018,Private,100784866,Mining,"Coal, Gold",,,25163776,MMR,4/1/2017,3/31/2018
MEGA STAR JEWEL LIMITED,164399457.0,Myanmar,2018,Private,110022956,Mining,"Gem, Jade",,,164399457.45,MMR,4/1/2017,3/31/2018
MELODIOUS GEMS COMPANY LIMITED,108468151.0,Myanmar,2018,Private,105609108,Mining,"Gem, Jade",,,108468151.02,MMR,4/1/2017,3/31/2018
METAL METERO,7451168.0,Myanmar,2018,Private,105818165,Mining,"Gem, Jade",,,7451167.69,MMR,4/1/2017,3/31/2018
MINING WORLD COMPANY LIMITED,107467210.0,Myanmar,2018,Private,114974269,Mining,"Tin, Tungsten",,,107467210.32,MMR,4/1/2017,3/31/2018
"MOATTAMA GAS TRANSPORTATION CO.,LTD(MGTC)",187613264454.0,Myanmar,2018,Private,142356155,Not applicable,,,,187613264454,MMR,4/1/2017,3/31/2018
MOE BROTHERS,63845789.0,Myanmar,2018,Private,102595246,Mining,"Gem, Jade",,,63845788.68,MMR,4/1/2017,3/31/2018
MOECO ASIA PTE. LTD,0.0,Myanmar,2018,Private,,Oil & Gas,"Oil, Gas, Condensates",,,,MMR,4/1/2017,3/31/2018
MOGOK PRIDE,6821561.0,Myanmar,2018,Private,107022201,Mining,"Gem, Jade",,,6821561.27,MMR,4/1/2017,3/31/2018
MOUNT CHING YING MINING COMPANY LIMITED,47585200.0,Myanmar,2018,Private,105617070,Mining,"Lead, Zin, Marble",,,47585200,MMR,4/1/2017,3/31/2018
MPRL E&P,-14675019330.0,Myanmar,2018,Private,177811262,Oil & Gas,"Oil, Gas, Condensates",,,-14675019330,MMR,4/1/2017,3/31/2018
MYA GARDEN (GEG),8341630987.0,Myanmar,2018,Private,115165925,Mining,"Gem, Jade",,,8341630986.76,MMR,4/1/2017,3/31/2018
MYA SAN DAR (MSD),2772995.0,Myanmar,2018,Private,107669450,Mining,"Gem, Jade",,,2772994.5,MMR,4/1/2017,3/31/2018
MYA YAUNG TUN,89310279.0,Myanmar,2018,Private,"2393,2012-2013",Mining,"Gem, Jade",,,89310279.05,MMR,4/1/2017,3/31/2018
MYANMA ECONOMIC HOLDINGS PUBLIC COMPANY LIMITED,29133864790.0,Myanmar,2018,Private,103947189,Mining,"Gold, Copper, Coal, Granite, Bauxite",,,29133864790.31,MMR,4/1/2017,3/31/2018
MYANMA SEINN LEI AUNG GEMS CO LTD.,1899975795.0,Myanmar,2018,Private,104372880,Mining,"Gem, Jade",,,1899975794.84,MMR,4/1/2017,3/31/2018
"MYANMAR ANDMAN CO., LTD",66125034.0,Myanmar,2018,Private,104651240,Mining,Pearl,,,66125034,MMR,4/1/2017,3/31/2018
"MYANMAR APEX MINING CO., LTD",2617957032.0,Myanmar,2018,Private,101715809,Mining,Coal,,,2617957032.09,MMR,4/1/2017,3/31/2018
"MYANMAR ATLANTIC CO., LTD",203473228.0,Myanmar,2018,Private,109939404,Mining,Pearl,,,203473228,MMR,4/1/2017,3/31/2018
MYANMAR CNMC NICKEL COMPANY LIMITED,753432369.0,Myanmar,2018,Private,108341157,Mining,Nickel,,,753432369.11,MMR,4/1/2017,3/31/2018
MYANMAR ECONOMIC CORPORATION,48695337.0,Myanmar,2018,Private,1054441922019,Mining,"Gem, Jade",,,48695337.41,MMR,4/1/2017,3/31/2018
MYANMAR ECONOMIC CORPORATION LIMITED,10398923560.0,Myanmar,2018,Private,105444192,Mining,"Limestone, Clay, Copper, Coal, Marble, Granite, Gypsum",,,10398923559.15,MMR,4/1/2017,3/31/2018
MYANMAR FIRST GEMS & JEWELLERY CO LTD,3172508397.0,Myanmar,2018,Private,112643648,Mining,"Gem, Jade",,,3172508396.62,MMR,4/1/2017,3/31/2018
"MYANMAR GOLDEN POINT FAMILY CO., LTD.",136550973.0,Myanmar,2018,Private,109529788,Mining,Gold,,,136550973.3,MMR,4/1/2017,3/31/2018
MYANMAR IMPERIAL JADE CO,4476405557.0,Myanmar,2018,Private,176227869,Mining,"Gem, Jade",,,4476405557.26,MMR,4/1/2017,3/31/2018
"MYANMAR LAR BA GEMS CO., LTD.",1500000.0,Myanmar,2018,Private,111053472,Mining,"Gem, Jade",,,1500000,MMR,4/1/2017,3/31/2018
MYANMAR MYO KO MEDICAL INSTRUMENT COMPANY LIMITED,75209.0,Myanmar,2018,Private,111192928,Mining,Iron,,,75209,MMR,4/1/2017,3/31/2018
MYANMAR NAING GROUP MINING COMPANY LTD,45613400.0,Myanmar,2018,Private,112682317,Mining,Limestone,,,45613400,MMR,4/1/2017,3/31/2018
"MYANMAR PETROLEUM EXPLORATION & PRODUCTION CO., LTD.",11064522.0,Myanmar,2018,Private,,Oil & Gas,"Oil, Gas, Condensates",,,11064522,MMR,4/1/2017,3/31/2018
MYANMAR PONGPIPAT COMPANY LIMITED,271637284.0,Myanmar,2018,Private,106803838,Mining,"Tin, Tungsten",,,271637284.2,MMR,4/1/2017,3/31/2018
MYANMAR RICH LAND GEMS,633261777.0,Myanmar,2018,Private,101665933,Mining,"Gem, Jade",,,633261776.75,MMR,4/1/2017,3/31/2018
"MYANMAR RUBY ENTERPRISE CO.,LTD",0.0,Myanmar,2018,Private,"1499,1995-1996",Mining,"Gem, Jade",,,,MMR,4/1/2017,3/31/2018
MYANMAR SIMCO SONG DA JOINT STOK COMPANY LIMITED,6093992.0,Myanmar,2018,Private,110108567,Mining,Marble,,,6093992.07,MMR,4/1/2017,3/31/2018
MYANMAR SITHU,35039939.0,Myanmar,2018,Private,106648646,Mining,"Gem, Jade",,,35039939.57,MMR,4/1/2017,3/31/2018
"MYANMAR TASAKI CO., LTD",476448712.0,Myanmar,2018,Private,151618537,Mining,Pearl,,,476448712,MMR,4/1/2017,3/31/2018
MYANMAR THURA [MTY],1571270537.0,Myanmar,2018,Private,105600755,Mining,"Gem, Jade",,,1571270537,MMR,4/1/2017,3/31/2018
MYANMAR TIN -TUNGSTEN COMPANY LIMITED,12618579.0,Myanmar,2018,Private,106131341,Mining,"Tin, Tungsten",,,12618578.6,MMR,4/1/2017,3/31/2018
MYANMAR WANBAO MINING COPPER LTD,2985313961.0,Myanmar,2018,Private,,Mining,Copper,,,2985313960.79,MMR,4/1/2017,3/31/2018
MYANMAR WINNING GATE (GMWG),831947156.0,Myanmar,2018,Private,104797172,Mining,"Gem, Jade",,,831947155.9,MMR,4/1/2017,3/31/2018
MYANMAR YANG TSE COPPER LTD,34267722027.0,Myanmar,2018,Private,,Mining,Copper,,,34267722026.99,MMR,4/1/2017,3/31/2018
"MYAT MYITTAR MON (G & J) CO.,LTD",0.0,Myanmar,2018,Private,,Mining,"Gem, Jade",,,,MMR,4/1/2017,3/31/2018
MYAT PAN KHAING,1757574856.0,Myanmar,2018,Private,Nc,Mining,"Gem, Jade",,,1757574856.53,MMR,4/1/2017,3/31/2018
MYAT YAMON,2052817292.0,Myanmar,2018,Private,118936019,Mining,"Gem, Jade",,,2052817290.73,MMR,4/1/2017,3/31/2018
MYAUK KYUN THU MA MINING & REFINERY COMPANY LIMITED,99043560.0,Myanmar,2018,Private,103947189,Mining,Gold,,,99043560,MMR,4/1/2017,3/31/2018
MYAY NAGAR MINING COMPANY LIMITED,191846448.0,Myanmar,2018,Private,103600111,Mining,Lead,,,191846448.48,MMR,4/1/2017,3/31/2018
MYINT INVESTMENT GROUP COMPANY LIMITED,143797234.0,Myanmar,2018,Private,116291568,Mining,Limestone,,,143797234,MMR,4/1/2017,3/31/2018
"MYINT SHIN GEMS CO.,LTD",1914971.0,Myanmar,2018,Private,106333483,Mining,"Gem, Jade",,,1914971.29,MMR,4/1/2017,3/31/2018
MYIT SONE AYAR,1952755726.0,Myanmar,2018,Private,145315298,Mining,"Gem, Jade",,,1952755726.86,MMR,4/1/2017,3/31/2018
MYO NWE GEMS,2371169615.0,Myanmar,2018,Private,162073524,Mining,"Gem, Jade",,,2371169614.94,MMR,4/1/2017,3/31/2018
NAN HTIKE PYAE PAING CO,680427121.0,Myanmar,2018,Private,101493539,Mining,"Gem, Jade",,,680427121.33,MMR,4/1/2017,3/31/2018
NAN KANAUNG MINING & ENGINEERING COMPANY LIMITED,10914708.0,Myanmar,2018,Private,103801990,Mining,"Manganese, Dioxide",,,10914707.62,MMR,4/1/2017,3/31/2018
NAN OO YADANAR,194850951.0,Myanmar,2018,Private,100192071,Mining,"Gem, Jade",,,194850951.57,MMR,4/1/2017,3/31/2018
NATIONAL PROSPERITY COMPANY LIMITED,1532990722.0,Myanmar,2018,Private,101027546,Mining,Gold,,,1532990722.32,MMR,4/1/2017,3/31/2018
"NAY CHI YADANAR CO., LTD.",0.0,Myanmar,2018,Private,165715756,Mining,"Gem, Jade",,,,MMR,4/1/2017,3/31/2018
NAY LA PWINT,1173205917.0,Myanmar,2018,Private,106846650,Mining,"Gem, Jade",,,1173205917.63,MMR,4/1/2017,3/31/2018
NAY MIN KABAR CO,1353880239.0,Myanmar,2018,Private,112235213,Mining,"Gem, Jade",,,1353880239.62,MMR,4/1/2017,3/31/2018
NEW DAYS ASIA MINING COMPANY LIMITED,437016021.0,Myanmar,2018,Private,101781372,Mining,Lead,,,437016020.7,MMR,4/1/2017,3/31/2018
NEW ERA GOLD COMPANY LIMITED,2494650.0,Myanmar,2018,Private,101853578,Mining,Marble,,,2494650,MMR,4/1/2017,3/31/2018
NEW LUCKY GREEN GEMS,22601107.0,Myanmar,2018,Private,140515442,Mining,"Gem, Jade",,,22601107.13,MMR,4/1/2017,3/31/2018
NGWE KABAR MYANMAR COMPANY LIMITED,68177445.0,Myanmar,2018,Private,101201996,Mining,"Tin, Tungsten",,,68177445,MMR,4/1/2017,3/31/2018
NGWE SI HEIN,369523493.0,Myanmar,2018,Private,114898813,Mining,"Gem, Jade",,,369523493.49,MMR,4/1/2017,3/31/2018
NGWE YI PALE MINING COMPANY LIMITED,323040656.0,Myanmar,2018,Private,155743298,Mining,"Limestone, Buxite, Coal, Gypsum",,,323040655.67,MMR,4/1/2017,3/31/2018
NILAR YOMA,18200198.0,Myanmar,2018,Private,163055198,Mining,"Gem, Jade",,,18200198.19,MMR,4/1/2017,3/31/2018
"NINO PEARL CULTURING CO., LTD",271579667.0,Myanmar,2018,Private,157123394,Mining,Pearl,,,271579667,MMR,4/1/2017,3/31/2018
NIPPON OIL EXPLORATION (MYANMAR) LTD,4307263379.0,Myanmar,2018,Private,,Oil & Gas,"Oil, Gas, Condensates",,,4307263379,MMR,4/1/2017,3/31/2018
"NO (2)HEAVY INDUSTRY, MINISTRY OF INDUSTRY",99484644.0,Myanmar,2018,Private,,Mining,"Glass Sand, Limestone, Marble, Buxite, Clay, Iron",,,99484644.04,MMR,4/1/2017,3/31/2018
NO. (3) HEAVY INDUSTRY. MINISTRY OF INDUSTRY,13021700.0,Myanmar,2018,Private,,Mining,Gypsum,,,13021700,MMR,4/1/2017,3/31/2018
NORBAL THREE STAR (GMMK),5770900331.0,Myanmar,2018,Private,104323286,Mining,"Gem, Jade",,,5770900331.84,MMR,4/1/2017,3/31/2018
NORTH PETRO-CHEM CORPORATION MYANMAR LTD. (NPCMM),0.0,Myanmar,2018,Private,,Oil & Gas,"Oil, Gas, Condensates",,,,MMR,4/1/2017,3/31/2018
NORTHERN JADE WORLD,0.0,Myanmar,2018,Private,111092141,Mining,"Gem, Jade",,,,MMR,4/1/2017,3/31/2018
"ONGC VIDESH LTD.,",2030156.0,Myanmar,2018,Private,,Oil & Gas,"Oil, Gas, Condensates",,,2030156,MMR,4/1/2017,3/31/2018
OPHIR MYANMAR (BLOCK AD-3) LIMITED (MYANMAR BRANCH),0.0,Myanmar,2018,Private,103204453,Oil & Gas,"Oil, Gas, Condensates",,,,MMR,4/1/2017,3/31/2018
"ORIENT PEARL CO., LTD (JALAN)",170244000.0,Myanmar,2018,Private,"1384,1998-1999",Mining,Pearl,,,170244000,MMR,4/1/2017,3/31/2018
"ORIENT PEARL CO., LTD (ZINYAW)",470307169.0,Myanmar,2018,Private,"1384,1998-1999",Mining,Pearl,,,470307169,MMR,4/1/2017,3/31/2018
OU RYU SEIN YADANAR,13180111.0,Myanmar,2018,Private,102529812,Mining,"Gem, Jade",,,13180111.02,MMR,4/1/2017,3/31/2018
PACIFIC HUNT ENERGY CORPORATION (MYANMAR BRANCH),0.0,Myanmar,2018,Private,187436311,Oil & Gas,"Oil, Gas, Condensates",,,,MMR,4/1/2017,3/31/2018
PACIFIC LINK CEMENT INDUSTRIES LIMITED,739978360.0,Myanmar,2018,Private,113988045,Mining,Limestone,,,739978360,MMR,4/1/2017,3/31/2018
PALANG SOPHON OFFSHORE PTE. LTD. (PSO),0.0,Myanmar,2018,Private,,Oil & Gas,"Oil, Gas, Condensates",,,,MMR,4/1/2017,3/31/2018
PALAUNG NATIONAL,0.0,Myanmar,2018,Private,,Mining,"Gem, Jade",,,,MMR,4/1/2017,3/31/2018
"PANG HUKE DUWA CO.,LTD",288358068.0,Myanmar,2018,Private,103768306,Mining,"Gem, Jade",,,288358067.87,MMR,4/1/2017,3/31/2018
PARAMI ENERGY DEVELOPMENT COMPANY LTD,0.0,Myanmar,2018,Private,,Oil & Gas,"Oil, Gas, Condensates",,,,MMR,4/1/2017,3/31/2018
PC MYANMAR (HONG KONG) LIMITED,281224174824.0,Myanmar,2018,Private,166259592,Oil & Gas,"Oil, Gas, Condensates",,,281224174824,MMR,4/1/2017,3/31/2018
PETRONAS CARIGALI MYANMAR INC (PCMI),4067640000.0,Myanmar,2018,Private,167068618,Oil & Gas,"Oil, Gas, Condensates",,,4067640000,MMR,4/1/2017,3/31/2018
PETROVIETNAM EXPLORATION PRODUCTION CORPORATION,0.0,Myanmar,2018,Private,,Oil & Gas,"Oil, Gas, Condensates",,,,MMR,4/1/2017,3/31/2018
PHAR KANT SAI BON,12053265.0,Myanmar,2018,Private,,Mining,"Gem, Jade",,,12053264.58,MMR,4/1/2017,3/31/2018
"PHOE THAR HTOO GEMS CO.,LTD.",4840533518.0,Myanmar,2018,Private,147968183,Mining,"Gem, Jade",,,4840533519.48,MMR,4/1/2017,3/31/2018
PHYO THIHA KYAW,10351601964.0,Myanmar,2018,Private,109675040,Mining,"Gem, Jade",,,10351601964.57,MMR,4/1/2017,3/31/2018
PON TUNG THARR GEMS COMPANY LIMITED,406952477.0,Myanmar,2018,Private,109634336,Mining,"Gem, Jade",,,406952476.95,MMR,4/1/2017,3/31/2018
"PONE NYET(GEM & JEWELLERY) CO.,LTD",0.0,Myanmar,2018,Private,"1067,2012-2013",Mining,"Gem, Jade",,,,MMR,4/1/2017,3/31/2018
POSCO DAEWOO CORPORATION (MYANMAR E&P OFFICE),262057008872.0,Myanmar,2018,Private,114730092,Oil & Gas,"Oil, Gas, Condensates",,,262057008872,MMR,4/1/2017,3/31/2018
PRINCE MANUFACTURING COMPANY LIMITED,170761348.0,Myanmar,2018,Private,102093003,Mining,"Lead, Zinc",,,170761347.38,MMR,4/1/2017,3/31/2018
PTTEP INTERNATIONAL LTD.,55547470386.0,Myanmar,2018,Private,"84,FC",Oil & Gas,"Oil, Gas, Condensates",,,55547470386,MMR,4/1/2017,3/31/2018
PWINT PHOO NADI,4220045.0,Myanmar,2018,Private,113379510,Mining,"Gem, Jade",,,4220045.48,MMR,4/1/2017,3/31/2018
"PYAE PHYO TUN CO., LTD",20000000.0,Myanmar,2018,Private,164028682,Mining,Pearl,,,20000000,MMR,4/1/2017,3/31/2018
"PYAE SONE HTET MYINT CO., LTD",17960010.0,Myanmar,2018,Private,100108143,Mining,Pearl,,,17960010,MMR,4/1/2017,3/31/2018
PYI YADANAR,1232539336.0,Myanmar,2018,Private,195679029,Mining,"Gem, Jade",,,1232539335.68,MMR,4/1/2017,3/31/2018
R.B.G,83160224.0,Myanmar,2018,Private,101387704,Mining,"Gem, Jade",,,83160224.78,MMR,4/1/2017,3/31/2018
RED MOUNTAIN,0.0,Myanmar,2018,Private,101117995,Mining,"Gem, Jade",,,,MMR,4/1/2017,3/31/2018
RELIANCE INDUSTRIES LTD.,0.0,Myanmar,2018,Private,,Oil & Gas,"Oil, Gas, Condensates",,,,MMR,4/1/2017,3/31/2018
"ROYAL MARINE ENGINEERING CO.,LTD",16212127.0,Myanmar,2018,Private,,Oil & Gas,"Oil, Gas, Condensates",,,16212127,MMR,4/1/2017,3/31/2018
RUBY DRAGON COMPANY,1163876274.0,Myanmar,2018,Private,177490903,Mining,"Gem, Jade",,,1163876274.13,MMR,4/1/2017,3/31/2018
RUBY DRAGON MINING COMPANY LIMITED,47019728.0,Myanmar,2018,Private,100678624,Mining,Antimony,,,47019728,MMR,4/1/2017,3/31/2018
RUBY TIGER,0.0,Myanmar,2018,Private,115697390,Mining,"Gem, Jade",,,,MMR,4/1/2017,3/31/2018
"SABAE (GEM & JEWELLERY) CO.,LTD",0.0,Myanmar,2018,Private,"1068,2012-2013",Mining,"Gem, Jade",,,,MMR,4/1/2017,3/31/2018
SAME LEI YADANAR WIN CO (SLYW),2215486384.0,Myanmar,2018,Private,103758491,Mining,"Gem, Jade",,,2215486384.35,MMR,4/1/2017,3/31/2018
SAME WAI HLAING (SWH),8877127349.0,Myanmar,2018,Private,106379017,Mining,"Gem, Jade",,,8877127349.3,MMR,4/1/2017,3/31/2018
SAN FAMILY,218879538.0,Myanmar,2018,Private,114020222,Mining,"Gem, Jade",,,218879538.39,MMR,4/1/2017,3/31/2018
SAN LIN INTERNATIONAL EXPORT & IMPORT COMPANY LIMITED,268471706.0,Myanmar,2018,Private,163480255,Mining,"Iron, Lead & Zinc",,,268471706.46,MMR,4/1/2017,3/31/2018
SAN TAW WIN,895147124.0,Myanmar,2018,Private,100717417,Mining,"Gem, Jade",,,895147123.56,MMR,4/1/2017,3/31/2018
SAT WINE INN ARR MINING COMPANY LIMITED,39272123.0,Myanmar,2018,Private,103798841,Mining,Lead,,,39272122.71,MMR,4/1/2017,3/31/2018
SEA SUN STAR MINING PRODUCTION & MARKETING COMPANY LIMITED,8600000.0,Myanmar,2018,Private,198408573,Mining,Copper,,,8600000,MMR,4/1/2017,3/31/2018
"SEIK TRA STAR (GEM & JEWELLERY) CO.,LTD",0.0,Myanmar,2018,Private,"1070,2012-2013",Mining,"Gem, Jade",,,,MMR,4/1/2017,3/31/2018
"SEIN CHI LIN MINING CO., LTD.",71836597.0,Myanmar,2018,Private,106135533,Mining,Coal,,,71836597,MMR,4/1/2017,3/31/2018
SEIN LONM TAUNG TAN (SLTT-S),7993029438.0,Myanmar,2018,Private,183561383,Mining,"Gem, Jade",,,7993029437.95,MMR,4/1/2017,3/31/2018
SEIN MINN YADANAR,10821661.0,Myanmar,2018,Private,152332807,Mining,"Gem, Jade",,,10821660.82,MMR,4/1/2017,3/31/2018
SEIN THURA SAN,1095771854.0,Myanmar,2018,Private,108045671,Mining,"Gem, Jade",,,1095771853.91,MMR,4/1/2017,3/31/2018
SEINE AUNG,772550209.0,Myanmar,2018,Private,100315440,Mining,"Gem, Jade",,,772550208.91,MMR,4/1/2017,3/31/2018
SEINE LIGHT,101935391.0,Myanmar,2018,Private,104639151,Mining,"Gem, Jade",,,101935390.35,MMR,4/1/2017,3/31/2018
SEINE LONE AUNG,38468374.0,Myanmar,2018,Private,"1477,2009-2010",Mining,"Gem, Jade",,,38468373.2,MMR,4/1/2017,3/31/2018
SEINE PWINT PWINT WAI,0.0,Myanmar,2018,Private,116600978,Mining,"Gem, Jade",,,,MMR,4/1/2017,3/31/2018
SEINN NAY CHI GEMS & JADE COMPANY,2522114383.0,Myanmar,2018,Private,110657528,Mining,"Gem, Jade",,,2522114382.47,MMR,4/1/2017,3/31/2018
"SENG TAWNG GEMS&JEWELLERY CO., LTD",2094293154.0,Myanmar,2018,Private,112486801,Mining,"Gem, Jade",,,2094293154.4,MMR,4/1/2017,3/31/2018
"SHEIN FAMILY GEMS CO., LTD.",71444753.0,Myanmar,2018,Private,147273711,Mining,"Gem, Jade",,,71444752.4,MMR,4/1/2017,3/31/2018
SHELL MYANMAR ENERGY PTE. LTD. - YANGON BRANCH,0.0,Myanmar,2018,Private,107278451,Oil & Gas,"Oil, Gas, Condensates",,,,MMR,4/1/2017,3/31/2018
"SHINING STAR LIGHT GEMS & JEWELLERY CO.,LTD",6158061678.0,Myanmar,2018,Private,193310389,Mining,"Gem, Jade",,,6158061678.18,MMR,4/1/2017,3/31/2018
SHWE GAUNG GAUNG GEMS CO LTD,2933880708.0,Myanmar,2018,Private,173478178,Mining,"Gem, Jade",,,2933880707.74,MMR,4/1/2017,3/31/2018
SHWE HEIN HTET GEMS CO LTD,1201385898.0,Myanmar,2018,Private,113888792,Mining,"Gem, Jade",,,1201385897.95,MMR,4/1/2017,3/31/2018
SHWE HWA,0.0,Myanmar,2018,Private,111532001,Mining,"Gem, Jade",,,,MMR,4/1/2017,3/31/2018
SHWE MOE YAN COMPANY LIMITED,161543588.0,Myanmar,2018,Private,101082474,Mining,"Gold, Lead",,,161543588,MMR,4/1/2017,3/31/2018
SHWE MYINT THAUNG YINN INDUSTRY & MANUFACTURING COMPANY LIMITED,926432.0,Myanmar,2018,Private,103309565,Mining,Gypsum,,,926432,MMR,4/1/2017,3/31/2018
SHWE NAING TUN,1883435.0,Myanmar,2018,Private,102764757,Mining,"Gem, Jade",,,1883435.37,MMR,4/1/2017,3/31/2018
SHWE NGAR KOE KAUNG,349936253.0,Myanmar,2018,Private,103883865,Mining,"Gem, Jade",,,349936252.34,MMR,4/1/2017,3/31/2018
"SHWE OAK KHAI MINING CO.,LTD.",2637271150.0,Myanmar,2018,Private,101538060,Mining,"Gem, Jade",,,2637271150.42,MMR,4/1/2017,3/31/2018
SHWE PAUK MINING COMPANY LIMITED,107057349.0,Myanmar,2018,Private,118049551,Mining,Coal,,,107057349,MMR,4/1/2017,3/31/2018
SHWE PIN LE MINING & INDUSTRY COMPANY LIMITED,87770346.0,Myanmar,2018,Private,109973629,Mining,"Tin, Tungsten",,,87770346,MMR,4/1/2017,3/31/2018
SHWE PYI NAGAR COMPANY LIMITED,11457300.0,Myanmar,2018,Private,106174911,Mining,Quartz,,,11457300,MMR,4/1/2017,3/31/2018
"SHWE PYI THAR GEMS TRADING AND FACETING CO-OP.,LTD",739242584.0,Myanmar,2018,Private,"KHA-3313,SALA,CHAN AYE THAR SAN",Mining,"Gem, Jade",,,739242583.85,MMR,4/1/2017,3/31/2018
SHWE SAPAR MINING COMPANY LIMITED,35773094.0,Myanmar,2018,Private,106564965,Mining,"Lead, Zinc, Copper",,,35773094,MMR,4/1/2017,3/31/2018
SHWE TAUNG MINING COMPANY LIMITED,1205039299.0,Myanmar,2018,Private,178268163,Mining,"Limestone, Clay, Coal",,,1205039299,MMR,4/1/2017,3/31/2018
SHWE TUN WIN,404367314.0,Myanmar,2018,Private,103437687,Mining,"Gem, Jade",,,404367313.14,MMR,4/1/2017,3/31/2018
SHWE WAR MYAE (MANDALAY),49936003.0,Myanmar,2018,Private,"1735,1999-2000",Mining,"Gem, Jade",,,49936002.94,MMR,4/1/2017,3/31/2018
