government_entity,eiti_id_government,sector,gfs_classification,revenue_stream_name,revenue_value,currency,country,iso_code3,year,start_date,end_date
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,oil & gas,Customs and other import duties (1151E),Derechos de Importacion,1118599109,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,oil & gas,Excise taxes (1142E),Impuesto a los Combutible Liquidos y GNC,226697787,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,oil & gas,Emission and pollution taxes (114522E),Impuesto al Dioxido de Carbono,25471093,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,oil & gas,Excise taxes (1142E),Fondo Fiduciario para el subsidio a los consumos residenciales de Gas natural y GLP,9297122,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,mining,Administrative fees for government services (1422E),Impuesto a los Créditos y Débitos Bancarios,494458429,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,oil & gas,"Ordinary taxes on income, profits and capital gains (1112E1)",Impuesto a las Ganancias de las Personas Fisicas y Sucesiones Indivisas,133303648,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,mining,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Impuesto al Valor Agregado (IVA),4.899810002E7,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,mining,Customs and other import duties (1151E),Derechos de Importacion,3.245263326E7,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,oil & gas,Licence fees (114521E),Tasa Estadistica,9013070,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,mining,"Ordinary taxes on income, profits and capital gains (1112E1)",Impuesto a las Ganancias de las Personas Fisicas y Sucesiones Indivisas,7021700.57,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRACIÓN FEDERAL DE INGRESOS PÚBLICOS (AFIP),9d308455-5eb2-4011-a9b1-00ec4d841c88,mining,Licence fees (114521E),Tasa Estadistica,506254.69,ARS,Argentina,ARG,2018,2018-01-01,"2018-12-31"
ADMINISTRATION DES DOMAINES,62f97038-25eb-4382-b85c-8ac0f8c9a3a0,other,Royalties (1415E1),Redevances domaniales,2190570403,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
ADMINISTRATION DES DOMAINES,62f97038-25eb-4382-b85c-8ac0f8c9a3a0,other,Taxes on property (113E),Taxe de publicité foncière (TPF),,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
ADMINISTRATION DES DOMAINES,62f97038-25eb-4382-b85c-8ac0f8c9a3a0,other,Royalties (1415E1),Redevances domaniales,1966405526,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
ADMINISTRATION DES DOMAINES,62f97038-25eb-4382-b85c-8ac0f8c9a3a0,other,Taxes on property (113E),Taxe de publicité foncière (TPF),,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
AGENCE CONGOLAISE DE L’ENVIRONNEMENT (ACE),01a0edde-b8ac-497c-b7c4-d504e95fcb95,oil,Emission and pollution taxes (114522E),"Suivi de l'exécution du PAR,PGE et Audit Environnemental",149978.58,USD,Democratic Republic of Congo,COD,2017,2017-01-01,"2017-12-31"
AGENCE NATIONALE DE GESTION DE L'ENVIRONNEMENT (ANGE),c2447ef1-1226-4b9c-a4d7-836549bb8d66,mining,Emission and pollution taxes (114522E),Taxe sur la delivrance de conformite environnementale,8173375,XOF,Togo,TGO,2017,2017-01-01,"2017-12-31"
AGENCE NATIONALE DE GESTION DE L'ENVIRONNEMENT (ANGE),c2447ef1-1226-4b9c-a4d7-836549bb8d66,mining,Emission and pollution taxes (114522E),Certificat de regularisation environnementale,418275,XOF,Togo,TGO,2017,2017-01-01,"2017-12-31"
AGENCE NATIONALE DES ÉVALUATIONS ENVIRONNEMENTALES (ANEVE),abc055cb-64a9-4265-ba77-7f96987e4944,mining,Emission and pollution taxes (114522E),Frais de prestation BUNEE,104049534,XOF,Burkina Faso,BFA,2018,2018-01-01,"2018-12-31"
AGENCE NATIONALE DES ÉVALUATIONS ENVIRONNEMENTALES (ANEVE),abc055cb-64a9-4265-ba77-7f96987e4944,mining,Delivered/paid to state-owned enterprise(s) (1415E32),Frais de prestation BUNEE,24360362,XOF,Burkina Faso,BFA,2019,2019-01-01,"2019-12-31"
AGENCE NATIONALE DES ÉVALUATIONS ENVIRONNEMENTALES (ANEVE),abc055cb-64a9-4265-ba77-7f96987e4944,mining,Delivered/paid to state-owned enterprise(s) (1415E32),Frais de prestation BUNEE,136270436,XOF,Burkina Faso,BFA,2020,2020-12-01,"2020-12-31"
AGENCE NATIONALE D’ENCADREMENT DES EXPLOITATIONS MINIÈRES ARTISANALES ET SEMI-MÉCANISÉES (ANEEMAS),18dd608d-c853-491c-a9bc-a18ba456091b,mining,Taxes on exports (1152E),Taxe à l'exportation d’or,45917878,XOF,Burkina Faso,BFA,2018,2018-01-01,"2018-12-31"
AGENCE NATIONALE D’ENCADREMENT DES EXPLOITATIONS MINIÈRES ARTISANALES ET SEMI-MÉCANISÉES (ANEEMAS),18dd608d-c853-491c-a9bc-a18ba456091b,mining,Delivered/paid to state-owned enterprise(s) (1415E32),Produits des ventes d’or,281391060,XOF,Burkina Faso,BFA,2019,2019-01-01,"2019-12-31"
AGENCE NATIONALE D’ENCADREMENT DES EXPLOITATIONS MINIÈRES ARTISANALES ET SEMI-MÉCANISÉES (ANEEMAS),18dd608d-c853-491c-a9bc-a18ba456091b,mining,Taxes on exports (1152E),Taxe à l'exportation d’or,49406294,XOF,Burkina Faso,BFA,2019,2019-01-01,"2019-12-31"
AGENCE NATIONALE D’ENCADREMENT DES EXPLOITATIONS MINIÈRES ARTISANALES ET SEMI-MÉCANISÉES (ANEEMAS),18dd608d-c853-491c-a9bc-a18ba456091b,mining,Taxes on exports (1152E),Taxe à l'exportation d’or,37670296,XOF,Burkina Faso,BFA,2020,2020-12-01,"2020-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,mining,Customs and other import duties (1151E),Carbon tax,224870178,ALL,Albania,ALB,2017,2017-01-01,"2017-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,oil & gas,Customs and other import duties (1151E),Carbon tax,25804413,ALL,Albania,ALB,2017,2017-01-01,"2017-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,oil & gas,Customs and other import duties (1151E),Circulation tax,232239717,ALL,Albania,ALB,2017,2017-01-01,"2017-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,oil & gas,Customs and other import duties (1151E),Excise,319860499,ALL,Albania,ALB,2017,2017-01-01,"2017-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,mining,Customs and other import duties (1151E),Excise tax,150814039,ALL,Albania,ALB,2017,2017-01-01,"2017-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,mining,Customs and other import duties (1151E),Import VAT,1382597467,ALL,Albania,ALB,2017,2017-01-01,"2017-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,mining,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Other payments to the State and local government units,35546481,ALL,Albania,ALB,2017,2017-01-01,"2017-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,oil & gas,Royalties (1415E1),Royalty,1457000349,ALL,Albania,ALB,2017,2017-01-01,"2017-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,mining,Royalties (1415E1),Royalty,887556245,ALL,Albania,ALB,2017,2017-01-01,"2017-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,mining,Royalties (1415E1),Royalties,540793045,ALL,Albania,ALB,2018,2018-01-01,"2018-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,mining,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Import VAT,1103150037,ALL,Albania,ALB,2018,2018-01-01,"2018-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,mining,Customs and other import duties (1151E),Carbon tax,85523607,ALL,Albania,ALB,2018,2018-01-01,"2018-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,oil & gas,Royalties (1415E1),Royalty,2079824463,ALL,Albania,ALB,2018,2018-01-01,"2018-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,oil & gas,Customs and other import duties (1151E),Excise,373668140,ALL,Albania,ALB,2018,2018-01-01,"2018-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,oil & gas,Customs and other import duties (1151E),Carbon tax,29777696,ALL,Albania,ALB,2018,2018-01-01,"2018-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,oil & gas,Customs and other import duties (1151E),Circulation tax,267999263,ALL,Albania,ALB,2018,2018-01-01,"2018-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,mining,Customs and other import duties (1151E),Excise,57835545,ALL,Albania,ALB,2018,2018-01-01,"2018-12-31"
ALBANIAN CUSTOMS ADMINISTRATE,de1d5dc8-e9e0-40e4-9b48-8e3d394c4f46,mining,Customs and other import duties (1151E),Other payments to the State and local government units,33669036,ALL,Albania,ALB,2018,2018-01-01,"2018-12-31"
ALBPETROL,e1658794-b21b-4301-b40c-f43d30c8f39b,oil & gas,Delivered/paid to state-owned enterprise(s) (1415E32),Share of oil production,2304710000,ALL,Albania,ALB,2017,2017-01-01,"2017-12-31"
ALBPETROL,e1658794-b21b-4301-b40c-f43d30c8f39b,oil & gas,Bonuses (1415E2),Signature Bonuses,1.417354032E7,ALL,Albania,ALB,2017,2017-01-01,"2017-12-31"
ALBPETROL,e1658794-b21b-4301-b40c-f43d30c8f39b,oil & gas,Bonuses (1415E2),Bonuses,10801000,ALL,Albania,ALB,2018,2018-01-01,"2018-12-31"
ALBPETROL,e1658794-b21b-4301-b40c-f43d30c8f39b,oil & gas,Delivered/paid to state-owned enterprise(s) (1415E32),Share of Oil,2020060900,ALL,Albania,ALB,2018,2018-01-01,"2018-12-31"
AMANSIE SOUTH DISTRICT ASSEMLY,32653a47-54b5-4d16-ac8d-83397d992676,mining,Taxes on property (113E),Property Rates,241900,GHS,Ghana,GHA,2017,2017-01-01,"2017-12-31"
AMANSIE SOUTH DISTRICT ASSEMLY,32653a47-54b5-4d16-ac8d-83397d992676,mining,Taxes on property (113E),Property Rates,241900,GHS,Ghana,GHA,2018,2018-01-01,"2018-12-31"
AMANSIE SOUTH DISTRICT ASSEMLY,32653a47-54b5-4d16-ac8d-83397d992676,mining,Taxes on property (113E),Property Rates,87352,USD,Ghana,GHA,2019,2019-01-01,"2019-12-31"
ASUTIFI DISTRICT ASSEMBLY,0f2ffd25-f527-4e4f-ae7d-306dd1bb6cf8,mining,Taxes on property (113E),Property Rates,,GHS,Ghana,GHA,2017,2017-01-01,"2017-12-31"
ASUTIFI DISTRICT ASSEMBLY,0f2ffd25-f527-4e4f-ae7d-306dd1bb6cf8,mining,Taxes on property (113E),Property Rates,,GHS,Ghana,GHA,2018,2018-01-01,"2018-12-31"
ASUTIFI DISTRICT ASSEMBLY,0f2ffd25-f527-4e4f-ae7d-306dd1bb6cf8,mining,Taxes on property (113E),Property Rates,70461,USD,Ghana,GHA,2019,2019-01-01,"2019-12-31"
AUTORITÉ DE RÉGULATION DU SECTEUR PÉTROLIER AVAL DU TCHAD (ARSAT),f7763cd9-2bca-471b-919f-22fd3eb05804,other,Licence fees (114521E),Redevance ARSAT,,USD,Chad,TCD,2017,2017-01-01,"2017-12-31"
AUTORITÉ DE RÉGULATION DU SECTEUR PÉTROLIER AVAL DU TCHAD (ARSAT),f7763cd9-2bca-471b-919f-22fd3eb05804,other,Licence fees (114521E),Redevance ARSAT,,USD,Chad,TCD,2018,2018-01-01,"2018-12-31"
AUTORITÉ POUR LA PROMOTION DE LA RECHERCHE PÉTROLIÈRE (AUREP),4fdccfc6-4544-4b07-b69a-1b01112bb612,oil,Royalties (1415E1),Fonds de promotion et de formation,276750000,XOF,Mali,MLI,2017,1/1/2017,"12/31/2017"
AUTORITÉ POUR LA PROMOTION DE LA RECHERCHE PÉTROLIÈRE (AUREP),4fdccfc6-4544-4b07-b69a-1b01112bb612,oil,Licence fees (114521E),Taxe de renouvellement (AUREP),1000000,XOF,Mali,MLI,2017,1/1/2017,"12/31/2017"
AUTORITÉ POUR LA PROMOTION DE LA RECHERCHE PÉTROLIÈRE (AUREP),4fdccfc6-4544-4b07-b69a-1b01112bb612,oil,Licence fees (114521E),Taxes superficiaires,172696000,XOF,Mali,MLI,2017,1/1/2017,"12/31/2017"
AUTORITÉ POUR LA PROMOTION DE LA RECHERCHE PÉTROLIÈRE (AUREP),4fdccfc6-4544-4b07-b69a-1b01112bb612,oil,Licence fees (114521E),Taxe de délivrance,,XOF,Mali,MLI,2017,1/1/2017,"12/31/2017"
AUTORITÉ POUR LA PROMOTION DE LA RECHERCHE PÉTROLIÈRE (AUREP),4fdccfc6-4544-4b07-b69a-1b01112bb612,oil,Royalties (1415E1),Fonds de promotion et de formation,125000000,XOF,Mali,MLI,2018,1/1/2018,"12/31/2018"
AUTORITÉ POUR LA PROMOTION DE LA RECHERCHE PÉTROLIÈRE (AUREP),4fdccfc6-4544-4b07-b69a-1b01112bb612,oil,Licence fees (114521E),Taxe de renouvellement (AUREP),,XOF,Mali,MLI,2018,1/1/2018,"12/31/2018"
AUTORITÉ POUR LA PROMOTION DE LA RECHERCHE PÉTROLIÈRE (AUREP),4fdccfc6-4544-4b07-b69a-1b01112bb612,oil,Licence fees (114521E),Taxes superficiaires,107935000,XOF,Mali,MLI,2018,1/1/2018,"12/31/2018"
AUTORITÉ POUR LA PROMOTION DE LA RECHERCHE PÉTROLIÈRE (AUREP),4fdccfc6-4544-4b07-b69a-1b01112bb612,oil,Licence fees (114521E),Taxes de délivrance (AUREP),,XOF,Mali,MLI,2018,1/1/2018,"12/31/2018"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,n/a,Other taxes payable by natural resource companies (116E),Versements au compte de réhabilitation pour l'environnement,75657609,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,"2017-12-31"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Other taxes payable by natural resource companies (116E),Autres flux de paiements significatifs (> 25 millions de FCFA) (reconciliables),,XOF,Senegal,SEN,2019,2019-01-01,"2019-12-31"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,"Ordinary taxes on income, profits and capital gains (1112E1)",Autres impôts locaux (nature et montant indiqués en annexe),19312789,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Other taxes payable by natural resource companies (116E),Autres paiements (nature et montant indiqués en annexe),18483600,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Other taxes payable by natural resource companies (116E),Autres paiements communs (nature et montant indiqués en annexe),13411900,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Taxes on payroll and workforce (112E),Autres retenues à la source (nature et montant indiqués en annexe) (Note a),,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Sales of goods and services by government units (1421E),Dépenses de transport de minéraux payées à l'Etat ou à une entité d'Etat,,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Compulsory transfers to government (infrastructure and other) (1415E4),Dépenses sociales en nature (Evaluation expert ou sur justificatifs),2960543201,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Compulsory transfers to government (infrastructure and other) (1415E4),Dépenses sociales en numéraire,4349863000,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,oil & gas,Compulsory transfers to government (infrastructure and other) (1415E4),Dépenses sociales Programme d'investissement public (PIP),,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,From government participation (equity) (1412E2),Dividendes payés à l'Etat (Tresor Public),,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Voluntary transfers to government (donations) (144E1),Dons (Contribution Volontaire) en nature (Evaluation expert ou sur justificatifs),6.566808417E8,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Voluntary transfers to government (donations) (144E1),Dons (Contribution Volontaire) en numéraire,12394688,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Voluntary transfers to government (donations) (144E1),Dons (Contribution Volontaire)Programme d'investissement public (PIP),,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Administrative fees for government services (1422E),Frais de mise à disposition de permis (Centre Immatriculation),,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Administrative fees for government services (1422E),Frais de test (ARTEC),,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Social security employer contributions (1212E),Organisation sanitaire d'entreprise,4248518070,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Bonuses (1415E2),Primes de découverte payée à l'Etat (Tresor Public),,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Bonuses (1415E2),Primes de production payée à l'Etat (Tresor Public),,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Bonuses (1415E2),Primes de signature payée à l'Etat (Tresor Public),,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Royalties (1415E1),Redevances de fréquence (ARTEC),,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Royalties (1415E1),Redevances de pompage d’eau (ANDEA),1.434637642E7,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Royalties (1415E1),Redevances télécommunication (ARTEC),,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Administrative fees for government services (1422E),Taxe de régulation (ARTEC),,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Administrative fees for government services (1422E),Taxes administratives : Carte d’identité étrangère (Tresor Public),,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Administrative fees for government services (1422E),Taxes administratives : Permis de conduire (Centre Immatriculation),,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Administrative fees for government services (1422E),Taxes administratives : Permis de travail (Ministère de l'Intérieure),,MGA,Madagascar,MDG,2017,1/1/2017,"12/31/2017"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,"Ordinary taxes on income, profits and capital gains (1112E1)",Others,16316927,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Other taxes payable by natural resource companies (116E),Others,27581320,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Other taxes payable by natural resource companies (116E),Others,11613840,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Taxes on payroll and workforce (112E),Others,,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Sales of goods and services by government units (1421E),Dépenses de transport de minéraux payées à l'Etat ou à une entité d'Etat,,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Compulsory transfers to government (infrastructure and other) (1415E4),Dépenses sociales en nature (Evaluation expert ou sur justificatifs),3537030344,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Compulsory transfers to government (infrastructure and other) (1415E4),Dépenses sociales en numéraire,4058937683,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,oil & gas,Delivered/paid to state-owned enterprise(s) (1415E32),Dépenses sociales Programme d'investissement public (PIP),,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,From government participation (equity) (1412E2),Dividendes payés à l'Etat (Tresor Public),,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Voluntary transfers to government (donations) (144E1),Dons (Contribution Volontaire) en nature (Evaluation expert ou sur justificatifs),9.867018852E8,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Voluntary transfers to government (donations) (144E1),Dons (Contribution Volontaire) en numéraire,156356000,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Voluntary transfers to government (donations) (144E1),Dons (Contribution Volontaire)Programme d'investissement public (PIP),,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Administrative fees for government services (1422E),Frais de mise à disposition de permis (Centre Immatriculation),,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Administrative fees for government services (1422E),Frais de test (ARTEC),,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
AUTRES,4a2db351-0838-4df3-8095-17f837dff3de,other,Social security employer contributions (1212E),Organisation sanitaire d'entreprise,4713027521,MGA,Madagascar,MDG,2018,1/1/2018,"12/31/2018"
