index,Company,Revenue value,original_company_name,OpenCorporatesID,company_relation,Project name,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Reporting currency,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,iso_code2,Year,Start Date,End Date,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country2,ISO Code 2,Year2,Start Date 2,End Date 2
36_part3,HAKIM JAN,,,,,,,,,,,,,,,,,,,,,Private,9002533876,Other,Construction stone,Not applicable,Not available,"156,485.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
37_part3,HAMRAAZ LIMITED,,,,,,,,,,,,,,,,,,,,,Private,1008218016,Other,Talc,Not applicable,Not available,"60,038.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
38_part3,HASHIMY GROUP,,,,,,,,,,,,,,,,,,,,,Private,1052485016,Other,Coal,Not applicable,Not available,"22,814,244.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
39_part3,HASK ROKHAAN LIMITED,,,,,,,,,,,,,,,,,,,,,Private,1009323088,Other,Talc,Not applicable,Not available,"8,746.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
40_part3,HASSAN AQA,,,,,,,,,,,,,,,,,,,,,Private,9000902198,Other,Construction stone,Not applicable,Not available,"138,299.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
41_part3,HIKMAT MOHAMMAD SHERZAD LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9005144796,Other,Coal,Not applicable,Not available,"53,147,665.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
42_part3,HILAL SABA TALC MINES EXTRACTION & PROCESSING LTD,,,,,,,,,,,,,,,,,,,,,Private,1005531080,Other,Talc,Not applicable,Not available,"728,746.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
43_part3,JABUL SIRAJ CONSORTIUM,,,,,,,,,,,,,,,,,,,,,Private,9002322874,Other,Cement,Not applicable,Not available,"378,109.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
44_part3,JAVED LIAQAT ALI LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9003329902,Other,Coal,Not applicable,Not available,"39,393,630.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
45_part3,KAMRAN BILAL TALC MINES EXTRACTION AND PROCESSING COMPANY,,,,,,,,,,,,,,,,,,,,,Private,9004385697,Other,Talc,Not applicable,Not available,"152,574.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
46_part3,KANDAHAR AKHEER MINERALS,,,,,,,,,,,,,,,,,,,,,Private,1014177016,Other,Talc,Not applicable,Not available,"602,182.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
47_part3,KHALID ANWAR NAUMAN SHERZAD LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9002092675,Other,Coal,Not applicable,Not available,"16,281,467.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
48_part3,KHOSHAK BROTHERS CO,,,,,,,,,,,,,,,,,,,,,Private,1022779207,Other,Coal,Not applicable,Not available,"89,773,684.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
49_part3,MADAN KARAN,,,,,,,,,,,,,,,,,,,,,Private,1044142014,Other,Coal,Not applicable,Not available,"9,290,595.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
50_part3,MADINA HUSSAINKHAIL LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9002713296,Other,Coal,Not applicable,Not available,"763,596.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
51_part3,MATI SAMI LIMITED,,,,,,,,,,,,,,,,,,,,,Private,1008627083,Other,Talc,Not applicable,Not available,"1,324,284.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
52_part3,MCC CONSORTIUM,,,,,,,,,,,,,,,,,,,,,Private,1052271010,Other,Copper,Not applicable,Not available,"14,027,424.30",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
53_part3,METAL MINING UK,,,,,,,,,,,,,,,,,,,,,Private,1009966167,Other,Chromite,Not applicable,Not available,"2,647,538.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
54_part3,MIR AFZALYAR LIMITED,,,,,,,,,,,,,,,,,,,,,Private,1001597085,Other,Coal,,,"2,834,820.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
55_part3,MISAQ-E SHARQ COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1050765013,Other,Coal,Not applicable,Not available,"47,263,121.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
56_part3,MOHAMMAD OMAR NOORZAI LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9002253681,Other,coal,Not applicable,Not available,"118,680,403.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
57_part3,MOHIB NAJIB LIMITED,,,,,,,,,,,,,,,,,,,,,Private,1001603081,Other,Talc,Not applicable,Not available,"12,163.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
58_part3,MOHIBULLAH SAFI BROTHERS LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9001125161,Other,Talc,Not applicable,Not available,"518,779.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
59_part3,NABI AFGHAN COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1010360087,Other,Talc,Not applicable,Not available,"365,746.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
60_part3,NADEEM AHMAD ARABZAI LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9005956751,Other,Coal,Not applicable,Not available,"8,221,610.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
61_part3,NAJIB FAHIM LIMITED,,,,,,,,,,,,,,,,,,,,,Private,1001561081,Other,Coal,Not applicable,Not available,"503,965.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
62_part3,NATURAL STONE COMPANY,,,,,,,,,,,,,,,,,,,,,Private,9001663419,Other,"Travertine, Marble",Not applicable,Not available,"873,383.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
63_part3,NEK HAKIMZADA LIMITED,,,,,,,,,,,,,,,,,,,,,Private,1009848019,Other,Coal,Not applicable,Not available,"55,552,900.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
64_part3,NEMLA MINERAL EXTRACTION AND PROCESSING COMPANY,,,,,,,,,,,,,,,,,,,,,Private,9004746716,Other,Talc,Not applicable,Not available,"81,150.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
65_part3,NEW ABASEEN LIMITED,,,,,,,,,,,,,,,,,,,,,Private,1000832012,Other,Coal,Not applicable,Not available,"393,122.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
66_part3,NOOR ABAS KHOSHIWAL LIMITED,,,,,,,,,,,,,,,,,,,,,Private,1005744162,Other,Coal,Not applicable,Not available,"19,873,630.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
67_part3,NORTH COAL ENTERPRISE (NCE),,,,,,,,,,,,,,,,,,,,,Private,9000453812,Other,Coal,Not applicable,https://momp.gov.af/soes,,Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
68_part3,OMAR FAROOQ TALC PROCESSING COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1002682084,Other,Talc,Not applicable,Not available,"2,022,882.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
69_part3,PAYAM RAH E FARDA LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9001085761,Other,Coal,Not applicable,Not available,"1,839,111.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
70_part3,QUDRAT SAMIM LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9004781200,Other,Coal,Not applicable,Not available,"19,502,616.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
71_part3,RAHIMI NEKA BROTHERS LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9006175187,Other,Coal,Not applicable,Not available,"890,045.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
72_part3,RIZWAN NIAZI LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9005502746,Other,Coal,Not applicable,Not available,"2,712,050.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
73_part3,SAHIL BILAL LIMITED,,,,,,,,,,,,,,,,,,,,,Private,1010199089,Other,Coal,Not applicable,Not available,"6,578,834.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
74_part3,SAJJAD HASHIMI LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9002468529,Other,Coal,Not applicable,Not available,"38,602,819.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
75_part3,SALMAN SHERZAD TALC COMPANY,,,,,,,,,,,,,,,,,,,,,Private,9003579092,Other,Talc,Not applicable,Not available,"323,456.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
76_part3,SARDAR MUSTAFA LIMITED COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1009975085,Other,Talc,Not applicable,Not available,"371,205.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
77_part3,SAYAM BEHRAM LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9005766853,Other,Coal,Not applicable,Not available,"26,323,384.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
78_part3,SAYED HASHIM MOSAWI,,,,,,,,,,,,,,,,,,,,,Private,9005510004,Other,Coal,Not applicable,Not available,"8,156,508.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
79_part3,SEFAT ULLAH,,,,,,,,,,,,,,,,,,,,,Private,9002437870,Other,Construction stone,Not applicable,Not available,"50,005.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
80_part3,SSHAHAB MEHBOOB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1018661015,Other,Marble,Not applicable,Not available,"64,325.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
81_part3,SHAHAR ROYA LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9004701877,Other,Coal,Not applicable,Not available,"668,149.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
82_part3,SHAMSHAD TOOFAN LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9003803682,Other,Coal,Not applicable,Not available,"8,719,006.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
83_part3,STANDARD TALC EXTRACTION AND PROCESSING COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1016525014,Other,Talc,Not applicable,Not available,"2,509,326.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
84_part3,TALC AND NAGEEN LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9003473288,Other,Talc,Not applicable,Not available,"2,634.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
85_part3,TARAAJ MINES MINERAL EXTRACTION AND PROCESSING COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1010423083,Other,Talc,Not applicable,Not available,"90,857.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
86_part3,TARIQ SHERZAD MARBLE EXTRACTION,,,,,,,,,,,,,,,,,,,,,Private,9002597095,Other,Talc,Not applicable,Not available,"4,245,634.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
87_part3,TP AFGHANISTAN LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9001205153,Other,"Oil, Gas, Condensates",Not applicable,Not available,"59,750,196.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
88_part3,TURAB KHAN,,,,,,,,,,,,,,,,,,,,,Private,9003151645,Other,Sand,Not applicable,Not available,"42,809.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
89_part3,USMAN IZZAT LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9004516796,Other,Coal,Not applicable,Not available,"50,160,489.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
90_part3,WESTCO INTERNATIONAL,,,,,,,,,,,,,,,,,,,,,Private,9000512997,Other,Salt,Not applicable,Not available,"1,822,519.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
91_part3,YASIR MOHMAND LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9005799722,Other,coal,Not applicable,Not available,"11,956,188.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
92_part3,YUSUFI QAZIZADA SOAP AND TOMATO KETCHUP PRODUCTION COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1016143016,Other,Talc,Not applicable,Not available,"155,343.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
93_part3,ZABIH ULLAH,,,,,,,,,,,,,,,,,,,,,Private,9002441609,Other,Construction stone,Not applicable,Not available,"31,436.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
94_part3,ZAKIR FAREED LIMITED,,,,,,,,,,,,,,,,,,,,,Private,9004641867,Other,coal,Not applicable,Not available,"79,167,047.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
95_part3,ZAR JAN,,,,,,,,,,,,,,,,,,,,,Private,9001505461,Mining,"Coal, Chromite",Not applicable,Not available,"925,810.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
96_part3,AHAMD ALI SON OF KHODAIDAD,,,,,,,,,,,,,,,,,,,,,Private,9001263814,Other,Construction stone,Not applicable,Not available,-,Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
97_part3,ARYA WHITE MINING CO,,,,,,,,,,,,,,,,,,,,,Private,9000100496,Mining,,Not applicable,Not available,"2,400.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
98_part3,AMO MINING CO,,,,,,,,,,,,,,,,,,,,,Private,9000345273,Mining,,Not applicable,Not available,"5,000.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
99_part3,SPENZAR MININING,,,,,,,,,,,,,,,,,,,,,Private,9000337528,Mining,,Not applicable,Not available,5,Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
100_part3,SAMEER RELANCE MINING CO,,,,,,,,,,,,,,,,,,,,,Private,9001331439,Mining,,Not applicable,Not available,600,Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
101_part3,MIR GROUP MINING CO,,,,,,,,,,,,,,,,,,,,,Private,1015582016,Mining,,Not applicable,Not available,"5,915.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
102_part3,YASAMEEN MINING CO,,,,,,,,,,,,,,,,,,,,,Private,9000647140,Other,,Not applicable,Not available,"220,936.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
103_part3,AFGHAN GOLD MINERAL CO,,,,,,,,,,,,,,,,,,,,,Private,9000300724,Other,,Not applicable,Not available,"68,760.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
104_part3,EMTIYAZ MINING CO,,,,,,,,,,,,,,,,,,,,,Private,9000304767,Mining,,Not applicable,Not available,"6,000.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
105_part3,QASEMI MINING CO,,,,,,,,,,,,,,,,,,,,,Private,9000289620,Mining,,Not applicable,Not available,"31,291.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
106_part3,AGHA AHMADI MINERAL PRO CO,,,,,,,,,,,,,,,,,,,,,Private,9003329902,Mining,,Not applicable,Not available,200,Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
107_part3,AFGHAN CRISTAL NATURAL RESOURCES,,,,,,,,,,,,,,,,,,,,,Private,1045784012,Mining,,Not applicable,Not available,"49,160.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
108_part3,BILAL MUSAZAI MINERAL PROCESSING INDUSTRIAL COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1009592088,Other,Talc,Not applicable,Not available,"367,503.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
109_part3,BGP,,,,,,,,,,,,,,,,,,,,,Private,9000599796,Mining,,Not applicable,Not available,"89,100.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
110_part3,HERAT SHAIDA COPPER EXPLORATION PROJECT,,,,,,,,,,,,,,,,,,,,,Private,9001204305,Mining,Copper,Not applicable,Not available,"15,000.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
111_part3,JABALSARAJ CEMENT,,,,,,,,,,,,,,,,,,,,,State-owned enterprises & public corporations,9003212546,Mining,,Not applicable,Not available,"746,950.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
112_part3,KOD-E-BARQ BALK,,,,,,,,,,,,,,,,,,,,,State-owned enterprises & public corporations,,Fertliser & power,,Not applicable,Not available,"66,873,499.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
113_part3,JARNAILZADA TALC PRO.CO,,,,,,,,,,,,,,,,,,,,,Private,9004678760,Mining,,Not applicable,Not available,"4,650.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
114_part3,CHETA TALK MINING,,,,,,,,,,,,,,,,,,,,,Private,9000140393,Mining,,Not applicable,Not available,"1,600.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
115_part3,HAJI MALANG KHOGYANI MINING CO,,,,,,,,,,,,,,,,,,,,,Private,9000226291,Other,Coal,Not applicable,Not available,"56,770.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
116_part3,HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1013655012,Other,Talc,Not applicable,Not available,"25,459.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
117_part3,AMEEN KARIMZAI TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1007815085,Other,Talc,Not applicable,Not available,"76,451.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
118_part3,"دوست محمد فرزند محمد شاه, دوست محمد",,,,,,,,,,,,,,,,,,,,,Private,9001104737,Other,Construction stone,Not applicable,Not available,"74,048.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
119_part3,SADAT GHAWS MINING CO,,,,,,,,,,,,,,,,,,,,,Private,9000471640,Mining,,Not applicable,Not available,"1,600.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
120_part3,STANDARD TALC EXTRACTION AND PROCESSING COMPANY,,,,,,,,,,,,,,,,,,,,,Private,1016525014,Other,Talc,Not applicable,Not available,"21,539.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
121_part3,SILK ROAD MINING CO,,,,,,,,,,,,,,,,,,,,,Private,9001204305,Other,Copper,Not applicable,Not available,200,Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
122_part3,CENTRAL AIZEEN MINING CO,,,,,,,,,,,,,,,,,,,,,Private,9000580028,Mining,,Not applicable,Not available,"88,795.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
123_part3,SEIN JHONG JHENG TONG,,,,,,,,,,,,,,,,,,,,,Private,9003013324,Mining,,Not applicable,Not available,"8,500.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
124_part3,SHAH FAISAL SHERZAD TALC MINING CO,,,,,,,,,,,,,,,,,,,,,Private,9005341681,Other,Construction Stone,Not applicable,Not available,"3,000.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
125_part3,EAST KABUL TALK PRO.CO,,,,,,,,,,,,,,,,,,,,,Private,9003257038,Mining,,Not applicable,Not available,"12,920.00",Afghanistan,AFG,2018,2017-12-21,"2018-12-24"
