Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
NIGERIA NATIONAL PETROLEUM CORPORATION,State-owned enterprises & public corporations,Not available,933210229.58,Nigeria,NGA,2017,1/1/2017,12/31/2017
NIGERIA CONTENT DEVELOPMENT MONITORING BOARD,Central goverment,Not available,99609247.33,Nigeria,NGA,2017,1/1/2017,12/31/2017
TOGOLAISE DES EAUX (TDE),Central government,,,Togo,TGO,2018,2018/01/01,2018/12/31
OFFICE NATIONALE POUR L'ENVIRONNEMENT,State-owned enterprises & public corporations,,282766719,Madagascar,MDG,2017,1/1/2017,12/31/2017
OFFICE NATIONALE POUR L'ENVIRONNEMENT,State-owned enterprises & public corporations,,470473460.1,Madagascar,MDG,2018,1/1/2018,12/31/2018
LIBERIA REVENUE AUTHORITY -LRA,Central goverment,Not applicable,58591685,Liberia,LBR,2018,7/1/2017,6/30/2018
NATIONAL PORT AUTHORITY -NPA,State government,Not applicable,1939667,Liberia,LBR,2018,7/1/2017,6/30/2018
NATIONAL OIL COMPANY OF LIBERIA -NOCAL,State-owned enterprises & public corporations,Not applicable,759222,Liberia,LBR,2018,7/1/2017,6/30/2018
ENVIRONMENTAL PROTECTION AUTHORITY - EPA,State government,Not applicable,229184,Liberia,LBR,2018,7/1/2017,6/30/2018
LIBERIA CIVIL AVIATION AUTHORITY -LCAA,State government,Not applicable,8680,Liberia,LBR,2018,7/1/2017,6/30/2018
STATE OIL MARKETING COMPANY,Public corporations & state-owned enterprises,Not applicable,,Iraq,IRQ,2017,1/1/2017,12/31/2017
ZCCM- IH,State-owned enterprises & public corporations,1001761145,758327248.44,Zambia,ZMB,2018,2018/01/01,2018/12/31
IDC,Other,,69205641.67,Zambia,ZMB,2018,2018/01/01,2018/12/31
MOF,Central goverment,,23178861.72,Zambia,ZMB,2018,2018/01/01,2018/12/31
ZCCM INVESTMENTS HOLDINGS PLC (ZCCM- IH),State-owned enterprises & public corporations,1001761145,,Zambia,ZMB,2019,2019/01/01,2019/12/31
"SECRETARÍA DE MINERÍA (SEMIN), MINISTERIO DE DESARROLLO PRODUCTIVO",Central government,,,Argentina,ARG,2018,2018/01/01,2018/12/31
"SECRETARÍA DE CONTROL Y MONITOREO AMBIENTAL, MINISTERIO DE AMBIENTE Y DESARROLLO SUSTENTABLE",Central government,,1103957.42,Argentina,ARG,2018,2018/01/01,2018/12/31
FONDS D'INTERVENTION POUR L'ENVIRONNEMENT (FIE) (PAIEMENTS ENVIRONNEMENTAUX),Other,,4422649722,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
FONDS D'INTERVENTION POUR L'ENVIRONNEMENT (FIE) (PAIEMENTS ENVIRONNEMENTAUX),Central goverment,<Use Legal Entity Identifier if available>,4263702851,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
