num,GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
31,"Fines, penalties, and forfeits (143E)",Mining,Penalty Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),7261069,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
32,Licence fees (114521E),Mining,License Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),721197,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
33,Administrative fees for government services (1422E),Mining,Exploitation Tender License Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),391203,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
34,Administrative fees for government services (1422E),Mining,Bidding Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),377249,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
35,Administrative fees for government services (1422E),Mining,Exploration Tender License Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),235780,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
36,Administrative fees for government services (1422E),Mining,Document Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),175000,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
37,Licence fees (114521E),Mining,License Fee - Exploitation,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),155281,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
38,Administrative fees for government services (1422E),Mining,Application Fee,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),135000,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
39,Other rent payments (1415E5),Mining,Site Accommodation Rent,MINISTRY OF MINES AND PETROLEUM (REVENUE DEPARTMENT),19500,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
40,From state-owned enterprises (1412E1),Not applicable,Transfers of SOE net profit made to the MoF,MINISTRY OF FINANCE (REVENUE DEPARTMENT),846184980,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
41,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Not applicable,Business Receipts Tax (BRT) 4%,MINISTRY OF FINANCE (REVENUE DEPARTMENT),270352003,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
42,"Ordinary taxes on income, profits and capital gains (1112E1)",Not applicable,Corporate income tax (CIT),MINISTRY OF FINANCE (REVENUE DEPARTMENT),206724072,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
43,"Fines, penalties, and forfeits (143E)",Not applicable,Penalties of Delay,MINISTRY OF FINANCE (REVENUE DEPARTMENT),42673489,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
44,Taxes on payroll and workforce (112E),Not applicable,Withholding Tax on Contractors,MINISTRY OF FINANCE (REVENUE DEPARTMENT),38859665,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
45,"Fines, penalties, and forfeits (143E)",Not applicable,Penalties of Late Payment,MINISTRY OF FINANCE (REVENUE DEPARTMENT),34510785,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
46,Other rent payments (1415E5),Not applicable,Other Tax,MINISTRY OF FINANCE (REVENUE DEPARTMENT),2148507,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
47,Taxes on exports (1152E),Mining,Fixed Tax on Exports,MINISTRY OF FINANCE (CUSTOMS DEPARTMENT),160724787,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
48,Taxes on exports (1152E),Mining,Other Fee on Exports,MINISTRY OF FINANCE (CUSTOMS DEPARTMENT),26061301,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
49,Customs and other import duties (1151E),Mining,Penalty on Imports,MINISTRY OF FINANCE (CUSTOMS DEPARTMENT),14183105,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
50,Taxes on exports (1152E),Mining,Penalty on Exports,MINISTRY OF FINANCE (CUSTOMS DEPARTMENT),7640394,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
51,Delivered/paid to state-owned enterprise(s) (1415E32),Other,Profit Oil et Cost Oil Etat Associé,SOCIÉTÉ NATIONALE D'OPÉRATIONS PÉTROLIÈRES DE CÔTE D'IVOIRE (PETROCI),73320214313,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
52,Delivered/paid directly to government (1415E31),Oil & Gas,Profit Oil Etat - Puissance Publique,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),43246099501,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
53,Delivered/paid directly to government (1415E31),Mining,Taxe d’Exploitation Pétrolière (TEP),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),18534042643,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
54,Royalties (1415E1),Mining,Taxes ad-valorem (85% Royalties),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),14186521016,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
55,"Ordinary taxes on income, profits and capital gains (1112E1)",Oil & Gas,Impôt sur les bénéfices Industriels et commerciaux (BIC),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),13977274853,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
56,"Ordinary taxes on income, profits and capital gains (1112E1)",Oil & Gas,Impôt sur le Revenu des Valeurs Mobilières (IRVM),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),10256913323,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
57,Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Besoins nationaux,SOCIÉTÉ NATIONALE D'OPÉRATIONS PÉTROLIÈRES DE CÔTE D'IVOIRE (PETROCI),7556036672,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
58,Customs and other import duties (1151E),Oil & Gas,Droits de Douane et taxes assimilées,DIRECTION GÉNÉRALE DES DOUANES (DGD),6992823181,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
59,From state-owned enterprises (1412E1),Oil & Gas,Dividendes issues des participations de l'Etat,DIRECTION GÉNÉRALE DU TRÉSOR ET DE LA COMPTABILITÉ PUBLIQUE (DGTCP),6804000000,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
60,Compulsory transfers to government (infrastructure and other) (1415E4),<Choose sector>,Contribution à la formation,DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),4999163268,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
61,Customs and other import duties (1151E),<Choose sector>,Droits de Douane et taxes assimilées,DIRECTION GÉNÉRALE DES DOUANES (DGD),3743527730,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
62,From state-owned enterprises (1412E1),<Choose sector>,Dividendes issues des participations de l'Etat,DIRECTION GÉNÉRALE DU TRÉSOR ET DE LA COMPTABILITÉ PUBLIQUE (DGTCP),2550000000,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
63,Royalties (1415E1),<Choose sector>,Taxes ad-valorem (15% Royalties),DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),3004999993,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
64,Bonuses (1415E2),<Choose sector>,Bonus de production,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),2454000000,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
65,Other taxes payable by natural resource companies (116E),<Choose sector>,Mise à disposition des équipements par les sociétés pétrolières à la DHG,DIRECTION GÉNÉRALE DES HYDROCARBURES (DGH),2396921390,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
66,"Ordinary taxes on income, profits and capital gains (1112E1)",<Choose sector>,Taxe sur la valeur ajoutée (TVA),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),1273112026,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
67,From state-owned enterprises (1412E1),<Choose sector>,Dividendes issues des participations de la SODEMI,SOCIÉTÉ POUR LE DÉVELOPPEMENT MINIER DE LA CÔTE D'IVOIRE (SODEMI),850000000,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
68,Bonuses (1415E2),<Choose sector>,Bonus de signature,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),819375000,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
69,Taxes on property (113E),<Choose sector>,Impôt sur le Patrimoine Foncier,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),655425859,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
70,Taxes on property (113E),<Choose sector>,Contribution des patentes,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),498167552,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
71,"Ordinary taxes on income, profits and capital gains (1112E1)",<Choose sector>,Impôt sur le Revenu des Valeurs Mobilières (IRVM),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),467157112,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
72,"Fines, penalties, and forfeits (143E)",<Choose sector>,Pénalités DGI,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),458086767,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
73,"Ordinary taxes on income, profits and capital gains (1112E1)",<Choose sector>,Taxe sur la valeur ajoutée (TVA),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),360000000,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
74,Licence fees (114521E),<Choose sector>,Droit d'option,DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),373292625,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
75,Licence fees (114521E),<Choose sector>,Redevances Superficiaires,DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),558917428,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
76,"Ordinary taxes on income, profits and capital gains (1112E1)",<Choose sector>,Impôts sur les Bénéfices non Commerciaux - BNC,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),233313099,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
77,"Ordinary taxes on income, profits and capital gains (1112E1)",,Impôts sur les Bénéfices non Commerciaux - BNC,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),232684384,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
78,"Ordinary taxes on income, profits and capital gains (1112E1)",,Impôt sur le revenu du secteur informel - AIRSI,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),149509576,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
79,Licence fees (114521E),,Taxe d'extraction (d'exploitation) des carrières,DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),842289400,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
80,Taxes on property (113E),,Impôt sur le Revenu des Capitaux Mobiliers (IRC),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),133225790,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
81,Compulsory transfers to government (infrastructure and other) (1415E4),,Contribution Budget Formation Mines,DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),100000000,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
82,"Fines, penalties, and forfeits (143E)",,Pénalités DGD,DIRECTION GÉNÉRALE DES DOUANES (DGD),81350525,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
83,Other taxes payable by natural resource companies (116E),,Versements au compte de réhabilitation pour l'environnement,AUTRES,75657609,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
84,Compulsory transfers to government (infrastructure and other) (1415E4),,Contribution à la formation,DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),125000000,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
85,"Ordinary taxes on income, profits and capital gains (1112E1)",,Pénalités DGI,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),62722998,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
86,Taxes on property (113E),,Impôt sur le Patrimoine Foncier,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),42731780,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
87,"Ordinary taxes on income, profits and capital gains (1112E1)",,Impôt sur les bénéfices Industriels et commerciaux (BIC),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),36000000,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
88,Excise taxes (1142E),,Droits Fixes,DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),340553350,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
89,"Ordinary taxes on income, profits and capital gains (1112E1)",,Impôt sur le revenu du secteur informel - AIRSI,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),27172742,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
90,Taxes on property (113E),,Contribution des patentes,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),27642071,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
91,Customs and other import duties (1151E),,Pénalités DGD,DIRECTION GÉNÉRALE DES DOUANES (DGD),3600000,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
92,Other taxes payable by natural resource companies (116E),,Cession des parts de la SODEMI dans SMI,SOCIÉTÉ POUR LE DÉVELOPPEMENT MINIER DE LA CÔTE D'IVOIRE (SODEMI),32057000000,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
93,Other taxes payable by natural resource companies (116E),,Redevance sur encadrement des SCOOPS,SOCIÉTÉ POUR LE DÉVELOPPEMENT MINIER DE LA CÔTE D'IVOIRE (SODEMI),1242200,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
94,Other taxes payable by natural resource companies (116E),,Cession des travaux de recherche réalisés par la SODEMI,SOCIÉTÉ POUR LE DÉVELOPPEMENT MINIER DE LA CÔTE D'IVOIRE (SODEMI),170000000,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
95,Delivered/paid to state-owned enterprise(s) (1415E32),,Profit Oil et Cost Oil Etat Associé (Autres acheteurs),SOCIÉTÉ NATIONALE D'OPÉRATIONS PÉTROLIÈRES DE CÔTE D'IVOIRE (PETROCI),26609745413,XOF,Cote d'Ivoire,CIV,2017,2017-01-01,2017-12-31
96,Delivered/paid to state-owned enterprise(s) (1415E32),Oil & Gas,Profit Oil et Cost Oil Etat Associé,SOCIÉTÉ NATIONALE D'OPÉRATIONS PÉTROLIÈRES DE CÔTE D'IVOIRE (PETROCI),57696675052,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
97,Delivered/paid directly to government (1415E31),Oil & Gas,Profit Oil Etat Puissance Publique,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),29342953218,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
98,Royalties (1415E1),Mining,Taxes ad-valorem (Royalties),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),13827192860,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
99,"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impôt sur les bénéfices Industriels et commerciaux (BIC),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),13810210525,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
100,Delivered/paid directly to government (1415E31),Oil & Gas,Taxe d’Exploitation Pétrolière (TEP),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),12575551379,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
101,"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impôt sur le Revenu des Valeurs Mobilières (IRVM),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),12015355971,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
102,From state-owned enterprises (1412E1),Oil & Gas,Dividendes issus des participations de l'Etat,DIRECTION GÉNÉRALE DU TRÉSOR ET DE LA COMPTABILITÉ PUBLIQUE (DGTCP),8500000000,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
103,From government participation (equity) (1412E2),Mining,Dividendes issus des participations de l'Etat,DIRECTION GÉNÉRALE DU TRÉSOR ET DE LA COMPTABILITÉ PUBLIQUE (DGTCP),8400563354,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
104,Customs and other import duties (1151E),Mining,Droits de Douane et taxes assimilées,DIRECTION GÉNÉRALE DES DOUANES (DGD),7845154830,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
105,Bonuses (1415E2),Oil & Gas,Bonus de signature,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),6038626780,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
106,Customs and other import duties (1151E),Oil & Gas,Droits de Douane et taxes assimilées,DIRECTION GÉNÉRALE DES DOUANES (DGD),5424097136,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
107,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Oil & Gas,Taxe sur la valeur ajoutée (TVA),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),4013837195,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
108,Royalties (1415E1),Mining,Taxes ad-valorem (Royalties),DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),2498076691,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
109,Taxes on property (113E),Mining,Impôt sur le Revenu des Capitaux Mobiliers (IRC),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),1885385109,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
110,"Ordinary taxes on income, profits and capital gains (1112E1)",Oil & Gas,Impôt sur le Revenu des Valeurs Mobilières (IRVM),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),1517196020,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
111,Other taxes payable by natural resource companies (116E),Oil & Gas,Mise à disposition des équipements par les sociétés pétrolières à la DHG,DIRECTION GÉNÉRALE DES HYDROCARBURES (DGH),1363247334,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
112,Compulsory transfers to government (infrastructure and other) (1415E4),Oil & Gas,Contribution à la formation,DIRECTION GÉNÉRALE DES HYDROCARBURES (DGH),1311172726,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
113,"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impôts sur les Bénéfices non Commerciaux - BNC,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),963915612,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
114,Licence fees (114521E),Mining,Taxe d'extraction (d'exploitation) des carrières,DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),706777370,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
115,Compulsory transfers to government (infrastructure and other) (1415E4),Mining,Versements au fonds de financement des actions de développement socio-économique local,LOCALITÉ D’AGBAOU-DIVO,636531600,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
116,Licence fees (114521E),Mining,Redevances Superficiaires,DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),586873557,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
117,Taxes on property (113E),Oil & Gas,Contribution des patentes,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),535550225,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
118,Taxes on payroll and workforce (112E),Mining,Fonds de développement de la formation Professionnelle (FDFP),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),531718602,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
119,Compulsory transfers to government (infrastructure and other) (1415E4),Mining,Versements au fonds de financement des actions de développement socio-économique local,LOCALITÉ D’HIRÉ,501830662,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
120,"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)",Mining,Taxe sur la valeur ajoutée (TVA),DIRECTION GÉNÉRALE DES IMPÔTS (DGI),497113073,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
121,Licence fees (114521E),Mining,Droit d'option,DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),435822585,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
122,Excise taxes (1142E),Mining,Droits Fixes,DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),405861935,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
123,"Ordinary taxes on income, profits and capital gains (1112E1)",Mining,Impôt sur le revenu du secteur informel - AIRSI,DIRECTION GÉNÉRALE DES IMPÔTS (DGI),276429358,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
124,Compulsory transfers to government (infrastructure and other) (1415E4),Mining,Versements au fonds de financement des actions de développement socio-économique local,LOCALITÉ D’ITY-ZOUHAN-HOUNIEN,220037096,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
125,Compulsory transfers to government (infrastructure and other) (1415E4),Mining,Contribution Budget Formation Mines,DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),210000000,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
